Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
,,,acquisition-refaced_datatype-anat_suffix-T2w,acquisition-refaced_datatype-anat_suffix-T1w__1,acquisition-refaced_datatype-anat_suffix-T1w,1,2,0.00351,,,9,,,,,,,0,2,1,,1.81,
,,,,acquisition-seVariant_suffix-asl__1,acquisition-seVariant_suffix-asl,1,2,,,,,,,,,,,0,,,,,
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__1,acquisition-singleband_datatype-func_suffix-bold_task-rest,1,1,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,,1,j-,3,0.0346501
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,2,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,3,0.75,j-,8.1,0.0338665
,,,,datatype-dwi_run-2_suffix-dwi__1,datatype-dwi_run-2_suffix-dwi,1,2,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,3,0.75,j-,8.1,0.0338665
,,,,datatype-dwi_run-3_suffix-dwi__1,datatype-dwi_run-3_suffix-dwi,1,1,,,,,,,,,,,0,,,,,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__2,datatype-fmap_fmap-magnitude1_suffix-magnitude1,2,1,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,1,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1,j-,1,
,,,,datatype-fmap_fmap-phase1_suffix-phase1__1,datatype-fmap_fmap-phase1_suffix-phase1,1,1,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1,j-,1,
,,,,datatype-fmap_fmap-phase1_suffix-phase1__2,datatype-fmap_fmap-phase1_suffix-phase1,2,1,0.00269,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,1,j-,1,
,,,,datatype-fmap_fmap-phase2_suffix-phase2__1,datatype-fmap_fmap-phase2_suffix-phase2,1,1,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,1,j-,1,
,,,,datatype-fmap_fmap-phase2_suffix-phase2__2,datatype-fmap_fmap-phase2_suffix-phase2,2,1,0.00527,,,60,acquisition-se_suffix-asl,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,1,j-,1,
,,,,datatype-fmap_suffix-magnitude3__1,datatype-fmap_suffix-magnitude3,1,1,,,,,,,,,,,0,,,,,
,,,,datatype-func_suffix-bold_task-frac2back__1,datatype-func_suffix-bold_task-frac2back,1,2,0.032,0.000550002,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,46,,1,j-,3,0.0346501