Notes,ManualCheck,MergeInto,RenameEntitySet,KeyParamGroup,EntitySet,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,EntitySetCount,Modality,NSliceTimes,NumVolumes,Obliquity,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,4,180,216,180,0.0029,,8,FALSE,4,anat,0,1.0,FALSE,,i-,2.5,,FALSE,1.0,1.0,1.0
,,,,datatype-dwi_suffix-dwi_acquisition-HASC55AP__1,datatype-dwi_suffix-dwi_acquisition-HASC55AP,1,2,36,43,36,0.089,0.00069,90,TRUE,4,dwi,36,61.0,FALSE,,j,4.2,0.072,FALSE,5.0,5.0,5.0
,,0,datatype-dwi_suffix-dwi_acquisition-HASC55APVARIANTNumVolumes10,datatype-dwi_suffix-dwi_acquisition-HASC55AP__2,datatype-dwi_suffix-dwi_acquisition-HASC55AP,2,1,36,43,36,0.089,0.00069,90,TRUE,4,dwi,36,10.0,FALSE,,j,4.2,0.072,FALSE,5.0,5.0,5.0
,,,datatype-dwi_suffix-dwi_acquisition-HASC55APVARIANTEchoTime2,datatype-dwi_suffix-dwi_acquisition-HASC55AP__3,datatype-dwi_suffix-dwi_acquisition-HASC55AP,3,1,36,43,36,0.07,0.00069,90,TRUE,4,dwi,36,61.0,FALSE,,j,4.2,0.072,FALSE,5.0,5.0,5.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1_acquisition-v4__1,datatype-fmap_fmap-magnitude1_suffix-magnitude1_acquisition-v4,1,4,36,43,36,0.004,,60,FALSE,4,fmap,0,1.0,FALSE,0.75,j-,1.5,,FALSE,5.0,5.0,5.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2_acquisition-v4__1,datatype-fmap_fmap-magnitude2_suffix-magnitude2_acquisition-v4,1,4,36,43,36,0.006,,60,FALSE,4,fmap,0,1.0,FALSE,0.75,j-,1.5,,FALSE,5.0,5.0,5.0
,,,,datatype-fmap_fmap-phasediff_suffix-phasediff_acquisition-v4__1,datatype-fmap_fmap-phasediff_suffix-phasediff_acquisition-v4,1,4,36,43,36,,,60,FALSE,4,fmap,0,1.0,FALSE,0.75,j-,1.5,,TRUE,5.0,5.0,5.0
,,,,datatype-fmap_direction-PA_fmap-epi_suffix-epi__1,datatype-fmap_direction-PA_fmap-epi_suffix-epi,1,3,36,43,36,0.089,0.00069,90,FALSE,4,fmap,36,1.0,FALSE,,j-,4.2,0.072,TRUE,5.0,5.0,5.0
,,,datatype-fmap_direction-PA_fmap-epi_suffix-epi_acquisition-VARIANTUnused,datatype-fmap_direction-PA_fmap-epi_suffix-epi__2,datatype-fmap_direction-PA_fmap-epi_suffix-epi,2,1,36,43,36,0.089,0.00069,90,FALSE,4,fmap,36,1.0,FALSE,,j-,4.2,0.072,FALSE,5.0,5.0,5.0
,,,,datatype-func_suffix-bold_task-rest__1,datatype-func_suffix-bold_task-rest,1,2,36,43,36,0.089,0.00069,70,TRUE,3,func,36,61.0,FALSE,,j,1.0,0.072,FALSE,5.0,5.0,5.0
,,,datatype-func_suffix-bold_task-rest_acquisition-VARIANTFlipAngle90,datatype-func_suffix-bold_task-rest__2,datatype-func_suffix-bold_task-rest,2,1,36,43,36,0.089,0.00069,90,TRUE,3,func,36,61.0,FALSE,,j,1.0,0.072,FALSE,5.0,5.0,5.0