KeyParamGroup,KeyGroup,ParamGroup,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,NSliceTimes,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,FilePath
acquisition-HASC55AP_datatype-dwi_suffix-dwi__1,acquisition-HASC55AP_datatype-dwi_suffix-dwi,1,0.089,0.000689998,acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff,90,,36,,j,4.2,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/dwi/sub-01_ses-phdiff_acq-HASC55AP_dwi.nii.gz
acquisition-HASC55AP_datatype-dwi_suffix-dwi__1,acquisition-HASC55AP_datatype-dwi_suffix-dwi,1,0.089,0.000689998,acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff,90,,36,,j,4.2,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/dwi/sub-02_ses-phdiff_acq-HASC55AP_dwi.nii.gz
acquisition-HASC55AP_datatype-dwi_suffix-dwi__1,acquisition-HASC55AP_datatype-dwi_suffix-dwi,1,0.089,0.000689998,acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff,90,,36,,j,4.2,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/dwi/sub-03_ses-phdiff_acq-HASC55AP_dwi.nii.gz
acquisition-v4_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-v4_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,0.004,,,60,,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/fmap/sub-01_ses-phdiff_acq-v4_magnitude1.nii.gz
acquisition-v4_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-v4_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,0.004,,,60,,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/fmap/sub-02_ses-phdiff_acq-v4_magnitude1.nii.gz
acquisition-v4_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-v4_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,0.004,,,60,,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/fmap/sub-03_ses-phdiff_acq-v4_magnitude1.nii.gz
acquisition-v4_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-v4_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,0.00646,,,60,,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/fmap/sub-01_ses-phdiff_acq-v4_magnitude2.nii.gz
acquisition-v4_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-v4_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,0.00646,,,60,,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/fmap/sub-02_ses-phdiff_acq-v4_magnitude2.nii.gz
acquisition-v4_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-v4_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,0.00646,,,60,,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/fmap/sub-03_ses-phdiff_acq-v4_magnitude2.nii.gz
acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff__1,acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff,1,,,,60,acquisition-HASC55AP_datatype-dwi_suffix-dwi,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/fmap/sub-01_ses-phdiff_acq-v4_phasediff.nii.gz
acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff__1,acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff,1,,,,60,acquisition-HASC55AP_datatype-dwi_suffix-dwi,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/fmap/sub-02_ses-phdiff_acq-v4_phasediff.nii.gz
acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff__1,acquisition-v4_datatype-fmap_fmap-phasediff_suffix-phasediff,1,,,,60,acquisition-HASC55AP_datatype-dwi_suffix-dwi,0,0.75,j-,1.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/fmap/sub-03_ses-phdiff_acq-v4_phasediff.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,0.0029,,,8,,0,,i-,2.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/anat/sub-01_ses-phdiff_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,0.0029,,,8,,0,,i-,2.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/anat/sub-02_ses-phdiff_T1w.nii.gz
datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,0.0029,,,8,,0,,i-,2.5,,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/anat/sub-03_ses-phdiff_T1w.nii.gz
datatype-fmap_direction-PA_fmap-epi_suffix-epi__1,datatype-fmap_direction-PA_fmap-epi_suffix-epi,1,0.089,0.000689998,,90,datatype-func_suffix-bold_task-rest,36,,j-,4.2,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/fmap/sub-01_ses-phdiff_dir-PA_epi.nii.gz
datatype-fmap_direction-PA_fmap-epi_suffix-epi__1,datatype-fmap_direction-PA_fmap-epi_suffix-epi,1,0.089,0.000689998,,90,datatype-func_suffix-bold_task-rest,36,,j-,4.2,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/fmap/sub-02_ses-phdiff_dir-PA_epi.nii.gz
datatype-fmap_direction-PA_fmap-epi_suffix-epi__1,datatype-fmap_direction-PA_fmap-epi_suffix-epi,1,0.089,0.000689998,,90,datatype-func_suffix-bold_task-rest,36,,j-,4.2,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/fmap/sub-03_ses-phdiff_dir-PA_epi.nii.gz
datatype-func_suffix-bold_task-rest__1,datatype-func_suffix-bold_task-rest,1,0.089,0.000689998,datatype-fmap_direction-PA_fmap-epi_suffix-epi,90,,36,,j,1.0,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-01/ses-phdiff/func/sub-01_ses-phdiff_task-rest_bold.nii.gz
datatype-func_suffix-bold_task-rest__1,datatype-func_suffix-bold_task-rest,1,0.089,0.000689998,datatype-fmap_direction-PA_fmap-epi_suffix-epi,90,,36,,j,1.0,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-02/ses-phdiff/func/sub-02_ses-phdiff_task-rest_bold.nii.gz
datatype-func_suffix-bold_task-rest__1,datatype-func_suffix-bold_task-rest,1,0.089,0.000689998,datatype-fmap_direction-PA_fmap-epi_suffix-epi,90,,36,,j,1.0,0.0717598,/Users/scovitz/BOnD/bond/Testdata/complete/sub-03/ses-phdiff/func/sub-03_ses-phdiff_task-rest_bold.nii.gz
